idx,date,open,high,low,close,volume,dividends,stock_splits
1148,2015-03-11,12.7433328629,13.078666687,12.734000206,12.9160003662,74623500,0.0,0.0
1149,2015-03-12,12.9166669846,12.9633331299,12.6499996185,12.7379999161,62239500,0.0,0.0
1150,2015-03-13,12.5966672897,12.7833328247,12.4879999161,12.578666687,81514500,0.0,0.0
1151,2015-03-16,12.8000001907,13.060667038,12.6533327103,13.046667099,84432000,0.0,0.0
1152,2015-03-17,13.02866745,13.2473325729,12.9293327332,12.982000351,73411500,0.0,0.0
1153,2015-03-18,12.9973325729,13.3920001984,12.8739995956,13.3806667328,72313500,0.0,0.0
1154,2015-03-19,13.4666671753,13.6393327713,12.9686670303,13.0433330536,127128000,0.0,0.0
1155,2015-03-20,13.1633329391,13.265999794,13.0413331985,13.205332756,64042500,0.0,0.0
1156,2015-03-23,13.233332634,13.3666667938,13.1646671295,13.3086671829,39474000,0.0,0.0
1157,2015-03-24,13.4386672974,13.5860004425,13.3166666031,13.4479999542,54748500,0.0,0.0
1158,2015-03-25,13.218000412,13.2393331528,12.8466672897,12.953332901,85956000,0.0,0.0
1159,2015-03-26,12.9280004501,12.986000061,12.6466665268,12.6940002441,61920000,0.0,0.0
1160,2015-03-27,12.6046667099,12.6193332672,12.0933332443,12.3333330154,129073500,0.0,0.0
1161,2015-03-30,12.3900003433,12.8166666031,12.1199998856,12.7046670914,151342500,0.0,0.0
1162,2015-03-31,12.9020004272,12.9173326492,12.560667038,12.5846672058,75399000,0.0,0.0
1163,2015-04-02,12.6820001602,12.8819999695,12.6666669846,12.733332634,75156000,0.0,0.0
1164,2015-04-06,13.1999998093,13.8500003815,13.1666669846,13.5399999619,186837000,0.0,0.0
1165,2015-04-07,13.5006666183,13.6706666946,13.4093332291,13.5500001907,65218500,0.0,0.0
1166,2015-04-08,13.8800001144,14.0600004196,13.7246665955,13.8446674347,94546500,0.0,0.0
1167,2015-04-09,13.8953332901,14.0246667862,13.7413330078,14.0059995651,57003000,0.0,0.0
1168,2015-04-10,13.9899997711,14.1099996567,13.9333333969,14.0600004196,61015500,0.0,0.0
1169,2015-04-13,14.0293331146,14.1999998093,13.9366674423,13.9853334427,56373000,0.0,0.0
1170,2015-04-14,13.9046669006,13.9659996033,13.6999998093,13.8306665421,45390000,0.0,0.0
1171,2015-04-15,13.8306665421,13.9726667404,13.7733325958,13.8553333282,29286000,0.0,0.0
1172,2015-04-16,13.8466672897,13.9446668625,13.7526674271,13.779999733,24886500,0.0,0.0
1173,2015-04-17,13.6660003662,13.7919998169,13.5666666031,13.7860002518,37048500,0.0,0.0
1174,2015-04-20,13.7853326797,13.8566665649,13.5900001526,13.6846666336,38389500,0.0,0.0
1175,2015-04-21,13.720000267,14.0500001907,13.6206674576,13.9606666565,51487500,0.0,0.0
1176,2015-04-22,14.1666669846,14.7919998169,14.1126670837,14.6293325424,117945000,0.0,0.0
1177,2015-04-23,14.5513334274,14.7653331757,14.4766674042,14.5733327866,66168000,0.0,0.0
1178,2015-04-24,14.6999998093,14.720000267,14.5340003967,14.5620002747,36417000,0.0,0.0
1179,2015-04-27,14.8373327255,15.9166669846,14.8000001907,15.4366674423,175089000,0.0,0.0
1180,2015-04-28,15.6499996185,15.6999998093,15.2019996643,15.3653326035,91281000,0.0,0.0
1181,2015-04-29,15.3366670609,15.6646671295,15.1753330231,15.4966669083,59041500,0.0,0.0
1182,2015-04-30,15.3593330383,15.5260000229,15.0113334656,15.0699996948,58678500,0.0,0.0
1183,2015-05-04,15.2119998932,15.6486673355,15.1406669617,15.3673334122,66519000,0.0,0.0
1184,2015-05-05,15.8506669998,15.9666671753,15.2753334045,15.529999733,86953500,0.0,0.0
1185,2015-05-06,15.6066665649,15.6313333511,15.2133331299,15.3620004654,79063500,0.0,0.0
1186,2015-05-07,14.733332634,15.8319997787,14.6833333969,15.7866668701,141838500,0.0,0.0
1187,2015-05-08,15.7326669693,15.8940000534,15.5799999237,15.7740001678,70023000,0.0,0.0
1188,2015-05-11,15.7526674271,16.1919994354,15.687333107,15.9659996033,85084500,0.0,0.0
1189,2015-05-12,16.0073337555,16.4233322144,15.8793325424,16.3159999847,95451000,0.0,0.0
1190,2015-05-13,16.5073337555,16.5533332825,16.1499996185,16.2119998932,81603000,0.0,0.0
1191,2015-05-14,16.3213329315,16.3260002136,16.0833320618,16.2733325958,43438500,0.0,0.0
1192,2015-05-15,16.2619991302,16.6266670227,16.1666679382,16.5893325806,67914000,0.0,0.0
1193,2015-05-18,16.4666671753,16.6599998474,16.3999996185,16.5833320618,50298000,0.0,0.0
1194,2015-05-19,16.5620002747,16.7333335876,16.4099998474,16.4759998322,55113000,0.0,0.0
1195,2015-05-20,16.4753322601,16.5160007477,16.0913333893,16.2900009155,56334000,0.0,0.0
1196,2015-05-21,16.2019996643,16.4413337708,16.157333374,16.374666214,29559000,0.0,0.0
1197,2015-05-22,16.3586673737,16.5733337402,16.3339996338,16.5153331757,33346500,0.0,0.0
1198,2015-05-26,16.5119991302,16.7999992371,16.4333324432,16.4973335266,52480500,0.0,0.0
1199,2015-05-27,16.5673332214,16.6333332062,16.3700008392,16.4953327179,51123000,0.0,0.0
1200,2015-05-28,16.4686660767,16.7866668701,16.3366661072,16.7633323669,54709500,0.0,0.0
1201,2015-05-29,16.7333335876,16.8579998016,16.6286678314,16.7199993134,56839500,0.0,0.0
1202,2015-06-02,16.5946674347,16.6266670227,16.4200000763,16.5566673279,32022000,0.0,0.0
1203,2015-06-03,16.546667099,16.7146663666,16.46733284,16.5993328094,26722500,0.0,0.0
1204,2015-06-04,16.5,16.6200008392,16.3806667328,16.3946666718,36804000,0.0,0.0
1205,2015-06-05,16.3999996185,16.6466674805,16.3786678314,16.6093330383,45330000,0.0,0.0
1206,2015-06-08,16.7233333588,17.25,16.6873321533,17.0860004425,75255000,0.0,0.0
1207,2015-06-09,17.0266666412,17.1826667786,16.9426670074,17.0666675568,39166500,0.0,0.0
1208,2015-06-10,16.7933330536,16.9333324432,16.5666675568,16.7133331299,51817500,0.0,0.0
1209,2015-06-11,16.8840007782,16.9580001831,16.6953334808,16.7606678009,30661500,0.0,0.0
1210,2015-06-12,16.6806678772,16.8973331451,16.6806678772,16.7126674652,21334500,0.0,0.0
1211,2015-06-15,16.6466674805,16.7520008087,16.4006671906,16.6919994354,32793000,0.0,0.0
1212,2015-06-16,16.6753330231,16.8959999084,16.6066665649,16.874666214,29770500,0.0,0.0
1213,2015-06-17,16.8113327026,17.6240005493,16.8013324738,17.360666275,82693500,0.0,0.0
1214,2015-06-18,17.4666671753,17.563999176,17.3346672058,17.4593334198,41740500,0.0,0.0
1215,2015-06-19,17.4933338165,17.5866661072,17.3400001526,17.500667572,36945000,0.0,0.0
1216,2015-06-22,17.4766674042,17.6266670227,17.045999527,17.3193321228,68416500,0.0,0.0
1217,2015-06-23,17.3546676636,17.8666667938,17.2380008698,17.8446674347,58062000,0.0,0.0
1218,2015-06-24,17.7986679077,17.8233337402,17.5813331604,17.6779994965,36184500,0.0,0.0
1219,2015-06-25,17.7633323669,18.0939998627,17.6833324432,17.9193325043,42738000,0.0,0.0
1220,2015-06-26,17.9260005951,17.9406661987,17.7333335876,17.8059997559,57576000,0.0,0.0
1221,2015-06-29,17.4633331299,17.7299995422,17.3799991608,17.468000412,52183500,0.0,0.0
1222,2015-06-30,17.6533336639,18.0613327026,17.6000003815,17.8840007782,46303500,0.0,0.0
1223,2015-07-02,18.6800003052,18.8299999237,18.2206668854,18.6679992676,107458500,0.0,0.0
1224,2015-07-06,18.591999054,18.7793331146,18.4200000763,18.6480007172,61828500,0.0,0.0
1225,2015-07-07,18.3333320618,18.3466663361,17.3846664429,17.8586673737,91576500,0.0,0.0
1226,2015-07-08,17.2880001068,17.3866672516,16.954000473,16.9973335266,93316500,0.0,0.0
1227,2015-07-09,17.2719993591,17.5300006866,17.1193332672,17.1946678162,50011500,0.0,0.0
1228,2015-07-10,17.4813327789,17.5333328247,17.1879997253,17.2766666412,39163500,0.0,0.0
1229,2015-07-13,17.4833335876,17.5033321381,17.0699996948,17.4773330688,44404500,0.0,0.0
1230,2015-07-14,17.4733333588,17.732667923,17.3673324585,17.7099990845,28614000,0.0,0.0
1231,2015-07-15,17.78266716,17.8326663971,17.4720001221,17.5426673889,30324000,0.0,0.0
1232,2015-07-16,17.6146678925,17.8133335114,17.5440006256,17.77866745,24240000,0.0,0.0
1233,2015-07-17,18.1666679382,18.3693332672,17.8833332062,18.310667038,75061500,0.0,0.0
1234,2015-07-20,18.3333320618,19.1100006104,18.1693325043,18.8173332214,74677500,0.0,0.0
1235,2015-07-21,18.0033321381,18.2333335876,17.7700004578,17.7846660614,91630500,0.0,0.0
1236,2015-07-22,17.4179992676,17.9626674652,17.3906669617,17.8579998016,46575000,0.0,0.0
1237,2015-07-23,17.9766674042,17.9933338165,17.6846675873,17.8133335114,33408000,0.0,0.0
1238,2015-07-24,17.8253326416,18.0726661682,17.5946674347,17.6940002441,42547500,0.0,0.0
1239,2015-07-27,17.4953327179,17.6286678314,16.7193336487,16.8673324585,70413000,0.0,0.0
1240,2015-07-28,17.0499992371,17.6933326721,16.7893333435,17.6546669006,58437000,0.0,0.0
1241,2015-07-29,17.6180000305,17.8593330383,17.4666671753,17.5879993439,41851500,0.0,0.0
1242,2015-07-30,17.5126667023,17.795999527,17.4740009308,17.7859992981,30519000,0.0,0.0
1243,2015-07-31,17.8400001526,17.9573326111,17.6746673584,17.7433338165,33339000,0.0,0.0
1244,2015-08-03,17.7526664734,17.7806663513,17.1380004883,17.3326663971,38302500,0.0,0.0
1245,2015-08-04,17.3339996338,17.7813339233,17.2226676941,17.7520008087,35287500,0.0,0.0
1246,2015-08-05,17.5720005035,18.0666675568,17.3600006104,18.0086669922,93214500,0.0,0.0
1247,2015-08-06,16.6359996796,17.0,15.7413330078,16.4086666107,219357000,0.0,0.0
1248,2015-08-07,16.2386665344,16.2486667633,15.8926668167,16.1673336029,76101000,0.0,0.0
1249,2015-08-10,15.8766670227,16.1979999542,15.7366666794,16.0760002136,62788500,0.0,0.0
1250,2015-08-11,15.8100004196,15.953332901,15.6293325424,15.8246669769,63973500,0.0,0.0
1251,2015-08-12,15.6666669846,15.9846668243,15.515999794,15.8780002594,55920000,0.0,0.0
1252,2015-08-13,15.9906673431,16.4319992065,15.9413328171,16.1673336029,70338000,0.0,0.0
1253,2015-08-14,16.482667923,16.52866745,16.1180000305,16.2099990845,65472000,0.0,0.0
1254,2015-08-17,17.0373325348,17.1060009003,16.7006664276,16.999332428,107650500,0.0,0.0
1255,2015-08-18,17.0253334045,17.3966674805,16.9039993286,17.3813323975,62925000,0.0,0.0
1256,2015-08-19,17.3553333282,17.3766670227,17.0013332367,17.0166664124,54064500,0.0,0.0
1257,2015-08-20,16.8040008545,16.9706668854,16.1266670227,16.1453323364,73587000,0.0,0.0
1258,2015-08-21,15.733332634,16.2533321381,15.3673334122,15.3846673965,98853000,0.0,0.0
1259,2015-08-24,13.5193328857,15.4266672134,13.0,14.5913333893,143724000,0.0,0.0
1260,2015-08-25,15.3680000305,15.3933334351,14.6079998016,14.6686668396,64909500,0.0,0.0
1261,2015-08-26,15.1953325272,15.1999998093,14.3673334122,14.9893331528,74445000,0.0,0.0
1262,2015-08-27,15.3999996185,16.3166675568,15.3873329163,16.1993331909,114840000,0.0,0.0
1263,2015-08-28,16.1240005493,16.7633323669,16.1046676636,16.5653324127,82705500,0.0,0.0
1264,2015-08-31,16.374666214,16.9966678619,16.3673324585,16.6040000916,70503000,0.0,0.0
1265,2015-09-02,16.3533325195,16.5253334045,15.9853334427,16.5126667023,69438000,0.0,0.0
1266,2015-09-03,16.8040008545,16.8053321838,16.3333320618,16.3713321686,62922000,0.0,0.0
1267,2015-09-04,16.0593338013,16.2726669312,15.8800001144,16.1286678314,55338000,0.0,0.0
1268,2015-09-08,16.3366661072,16.610666275,16.2700004578,16.5446662903,47073000,0.0,0.0
1269,2015-09-09,16.8033332825,16.9500007629,16.5533332825,16.5939998627,50862000,0.0,0.0
1270,2015-09-10,16.482000351,16.7146663666,16.3553333282,16.5653324127,40635000,0.0,0.0
1271,2015-09-11,16.5093326569,16.6826667786,16.3153324127,16.6826667786,35262000,0.0,0.0
1272,2015-09-14,16.7399997711,16.9500007629,16.6446666718,16.8793334961,43363500,0.0,0.0
1273,2015-09-15,16.8500003815,16.9733333588,16.6333332062,16.9046669006,44002500,0.0,0.0
1274,2015-09-16,16.8693332672,17.5253334045,16.8586673737,17.4833335876,66256500,0.0,0.0
1275,2015-09-17,17.5973339081,17.7000007629,17.3793334961,17.47133255,53787000,0.0,0.0
1276,2015-09-18,17.1973323822,17.5879993439,17.1666679382,17.374666214,56446500,0.0,0.0
1277,2015-09-21,17.5986671448,18.1046676636,17.0533332825,17.6133327484,91803000,0.0,0.0
1278,2015-09-22,17.2686672211,17.5100002289,17.0580005646,17.3959999084,54966000,0.0,0.0
1279,2015-09-23,17.4633331299,17.4720001221,17.172000885,17.4039993286,39012000,0.0,0.0
1280,2015-09-24,17.3020000458,17.5633335114,17.0806674957,17.5413322449,51723000,0.0,0.0
1281,2015-09-25,17.7740001678,17.7940006256,17.0766677856,17.1273326874,56601000,0.0,0.0
1282,2015-09-28,17.1566677094,17.3193321228,16.4406661987,16.5620002747,73516500,0.0,0.0
1283,2015-09-29,16.6973323822,16.982000351,16.3640003204,16.4433326721,55548000,0.0,0.0
1284,2015-09-30,16.7999992371,16.8266677856,16.1560001373,16.5599994659,73944000,0.0,0.0
1285,2015-10-02,15.7066669464,16.5133323669,15.6619997025,16.5046672821,66360000,0.0,0.0
1286,2015-10-05,16.5893325806,16.6560001373,16.2753334045,16.4099998474,55348500,0.0,0.0
1287,2015-10-06,16.0,16.2019996643,15.705332756,16.0973339081,78378000,0.0,0.0
1288,2015-10-07,15.7753334045,15.8466672897,15.2746667862,15.4639997482,102210000,0.0,0.0
1289,2015-10-08,15.3386669159,15.3813333511,14.7539997101,15.1146669388,91998000,0.0,0.0
1290,2015-10-09,14.7286672592,14.9580001831,14.5573329926,14.7126674652,92376000,0.0,0.0
1291,2015-10-12,14.8660001755,14.8666667938,14.3513326645,14.3719997406,57544500,0.0,0.0
1292,2015-10-13,14.2186670303,14.8346672058,14.0753326416,14.6166667938,77572500,0.0,0.0
1293,2015-10-14,14.7113332748,14.7299995422,14.3620004654,14.4586668015,46566000,0.0,0.0
1294,2015-10-15,14.4286670685,14.781999588,14.2466669083,14.7539997101,42663000,0.0,0.0
1295,2015-10-16,14.8693332672,15.3653326035,14.8579998016,15.1339998245,65017500,0.0,0.0
1296,2015-10-19,15.1000003815,15.4099998474,14.9960002899,15.2066669464,37618500,0.0,0.0
1297,2015-10-20,15.1813325882,15.2399997711,13.4666671753,14.2019996643,223500000,0.0,0.0
1298,2015-10-21,14.1326665878,14.3206672668,13.9200000763,14.0059995651,62272500,0.0,0.0
1299,2015-10-22,14.1040000916,14.3833332062,13.9600000381,14.1146669388,42378000,0.0,0.0
1300,2015-10-23,14.3333330154,14.3566665649,13.8459997177,13.939332962,63532500,0.0,0.0
1301,2015-10-26,14.0920000076,14.3920001984,14.0,14.3506669998,50871000,0.0,0.0
1302,2015-10-27,14.3226671219,14.4733333588,13.8339996338,14.0233325958,52791000,0.0,0.0
1303,2015-10-28,14.0873327255,14.2299995422,13.8866672516,14.1973333359,40929000,0.0,0.0
1304,2015-10-29,14.1166667938,14.25,14.0426673889,14.1086673737,27075000,0.0,0.0
1305,2015-10-30,14.0266666412,14.1086673737,13.592666626,13.7953329086,66583500,0.0,0.0
1306,2015-11-02,13.9280004501,14.3866672516,13.814666748,14.2526674271,58918500,0.0,0.0
1307,2015-11-03,14.2566671371,14.295999527,13.8500003815,13.8900003433,124987500,0.0,0.0
1308,2015-11-04,15.1333332062,15.515999794,15.0133333206,15.4420003891,190896000,0.0,0.0
1309,2015-11-05,15.3719997406,15.6386671066,15.2793331146,15.451333046,67452000,0.0,0.0
1310,2015-11-06,15.3800001144,15.5573329926,15.3000001907,15.4906673431,36679500,0.0,0.0
1311,2015-11-09,15.53266716,15.53266716,14.954000473,15.0220003128,57763500,0.0,0.0
1312,2015-11-10,14.8986673355,14.9133329391,14.4053325653,14.4333333969,69255000,0.0,0.0
1313,2015-11-11,14.517999649,14.6319999695,14.2419996262,14.6053333282,50217000,0.0,0.0
1314,2015-11-12,14.5233325958,14.6000003815,14.1773328781,14.1960000992,43738500,0.0,0.0
1315,2015-11-13,14.1966667175,14.1993331909,13.767999649,13.812666893,51454500,0.0,0.0
1316,2015-11-16,13.7393331528,14.3319997787,13.720000267,14.2873325348,43881000,0.0,0.0
1317,2015-11-17,14.3466672897,14.3999996185,14.0933332443,14.266667366,32230500,0.0,0.0
1318,2015-11-18,14.3000001907,14.7586669922,14.1680002213,14.7379999161,42178500,0.0,0.0
1319,2015-11-19,14.7026672363,15.0793333054,14.6866674423,14.7866668701,37566000,0.0,0.0
1320,2015-11-20,14.8993330002,15.0,14.2386665344,14.6673326492,66010500,0.0,0.0
1321,2015-11-23,14.4899997711,14.6120004654,14.3120002747,14.516667366,37893000,0.0,0.0
1322,2015-11-24,14.3579998016,14.733332634,14.3333330154,14.5500001907,37204500,0.0,0.0
1323,2015-11-25,14.7559995651,15.3886671066,14.6920003891,15.3093328476,59862000,0.0,0.0
1324,2015-11-27,15.4040002823,15.483332634,15.1339998245,15.4406671524,29241000,0.0,0.0
1325,2015-11-30,15.4526672363,15.6186666489,15.2720003128,15.3506669998,39897000,0.0,0.0
1326,2015-12-02,15.8000001907,15.9066667557,15.4153327942,15.4659996033,44722500,0.0,0.0
1327,2015-12-03,15.6986665726,15.8299999237,15.3333330154,15.513999939,44094000,0.0,0.0
1328,2015-12-04,15.4973325729,15.5513334274,15.1773328781,15.3586673737,38604000,0.0,0.0
1329,2015-12-07,15.1800003052,15.7086668015,15.076666832,15.4086666107,47163000,0.0,0.0
1330,2015-12-08,15.1680002213,15.2533330917,14.9466667175,15.1146669388,40314000,0.0,0.0
1331,2015-12-09,15.1133327484,15.1666669846,14.7146673203,14.968000412,45867000,0.0,0.0
1332,2015-12-10,14.9806671143,15.2326669693,14.9093332291,15.1379995346,31075500,0.0,0.0
1333,2015-12-11,15.015999794,15.0500001907,14.4426670074,14.468000412,49030500,0.0,0.0
1334,2015-12-14,14.5006666183,14.7279996872,14.3246669769,14.5719995499,42406500,0.0,0.0
1335,2015-12-15,14.7880001068,14.814666748,14.5333328247,14.7393331528,33666000,0.0,0.0
1336,2015-12-16,14.8066673279,15.6586666107,14.7153329849,15.6339998245,76564500,0.0,0.0
1337,2015-12-17,15.5959997177,15.8506669998,15.3206672668,15.5593328476,49479000,0.0,0.0
1338,2015-12-18,15.5260000229,15.7266674042,15.2860002518,15.3640003204,45213000,0.0,0.0
1339,2015-12-21,15.4460000992,15.7220001221,15.4053325653,15.5039997101,29298000,0.0,0.0
1340,2015-12-22,15.6660003662,15.7700004578,15.3086671829,15.3299999237,29422500,0.0,0.0
1341,2015-12-23,15.4786672592,15.5633325577,15.2086668015,15.3133325577,23325000,0.0,0.0
1342,2015-12-24,15.3706674576,15.4586668015,15.2186670303,15.3713331223,10620000,0.0,0.0
1343,2015-12-28,15.4326667786,15.4653329849,15.0360002518,15.2633333206,28519500,0.0,0.0
1344,2015-12-29,15.3373327255,15.8479995728,15.3033332825,15.812666893,36094500,0.0,0.0
1345,2015-12-30,15.7733325958,16.2420005798,15.7113332748,15.8726673126,55468500,0.0,0.0
1346,2015-12-31,15.9006671906,16.2299995422,15.8913326263,16.000667572,40725000,0.0,0.0
1347,2016-01-04,15.3813333511,15.4253330231,14.6000003815,14.8940000534,102406500,0.0,0.0
1348,2016-01-05,15.0906667709,15.1260004044,14.6666669846,14.8953332901,47802000,0.0,0.0
1349,2016-01-06,14.6666669846,14.6700000763,14.3986673355,14.6026668549,56686500,0.0,0.0
1350,2016-01-07,14.2793331146,14.562666893,14.2446670532,14.3766670227,53314500,0.0,0.0
1351,2016-01-08,14.5240001678,14.6960000992,14.0513334274,14.0666666031,54421500,0.0,0.0
1352,2016-01-11,14.2673330307,14.296667099,13.5333328247,13.8566665649,61371000,0.0,0.0
1353,2016-01-12,14.1066665649,14.2493333817,13.687333107,13.998000145,46378500,0.0,0.0
1354,2016-01-13,14.1339998245,14.1766672134,13.3333330154,13.3540000916,61896000,0.0,0.0
1355,2016-01-14,13.4806671143,14.0,12.8920001984,13.7453327179,97360500,0.0,0.0
1356,2016-01-15,13.2646665573,13.671333313,13.1499996185,13.6660003662,83679000,0.0,0.0
1357,2016-01-19,13.9139995575,14.0313329697,13.3853330612,13.6479997635,60580500,0.0,0.0
1358,2016-01-20,13.2933330536,13.4186668396,12.75,13.2466669083,87579000,0.0,0.0
1359,2016-01-21,13.4366674423,13.548666954,13.0013332367,13.3313331604,47493000,0.0,0.0
1360,2016-01-22,13.6533327103,13.6999998093,13.2686672211,13.5033330917,46861500,0.0,0.0
1361,2016-01-25,13.3373327255,13.5713329315,13.0586671829,13.0920000076,40480500,0.0,0.0
1362,2016-01-26,13.1133327484,13.1879997253,12.5920000076,12.9040002823,74463000,0.0,0.0
1363,2016-01-27,12.8253326416,12.8839998245,12.3846673965,12.5380001068,54258000,0.0,0.0
1364,2016-01-28,12.719332695,12.751999855,12.1606674194,12.6466665268,68892000,0.0,0.0
1365,2016-01-29,12.6633329391,12.9160003662,12.5386667252,12.7466669083,42784500,0.0,0.0
1366,2016-02-02,12.8280000687,12.8746671677,12.0153331757,12.185333252,86604000,0.0,0.0
1367,2016-02-03,12.2393331528,12.2626667023,11.3453330994,11.5653333664,118971000,0.0,0.0
1368,2016-02-04,11.3800001144,11.732000351,11.1326665878,11.6886672974,65781000,0.0,0.0
1369,2016-02-05,11.4200000763,11.5333328247,10.515999794,10.8400001526,141564000,0.0,0.0
1370,2016-02-08,10.4733333588,10.4766674042,9.733332634,9.8660001755,139695000,0.0,0.0
1371,2016-02-09,9.4879999161,10.6526670456,9.4033327103,9.8833332062,129774000,0.0,0.0
1372,2016-02-10,10.0333328247,10.3313331604,9.4493331909,9.5780000687,156097500,0.0,0.0
1373,2016-02-11,10.1333332062,10.8839998245,9.8000001907,10.0313329697,213786000,0.0,0.0
